rank,title_cn,title_en,aka,rating,rating_count,quote,director,actors,year,country,genre,detail_url
202,大佛普拉斯,,The Great Buddha+,8.7,563370,人们可以登上月球，却永远无法探索人们内心的宇宙。,黄信尧 Hsin-yao Huang,庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh...,2017,中国台湾,剧情 喜剧,https://movie.douban.com/subject/27059130/
203,白日梦想家,The Secret Life of Walter Mitty,发梦王大历险(港)  /  白日梦冒险王(台),8.6,664703,,本·斯蒂勒 Ben Stiller,本·斯蒂勒 Ben Stiller / 克里斯汀·...,2013,美国 英国,剧情 喜剧 冒险,https://movie.douban.com/subject/2133323/
204,荒蛮故事,Relatos salvajes,蛮荒故事  /  生命中最抓狂的小事(台),8.7,524990,始于荒诞，止于更荒诞。,达米安·斯兹弗隆 Damián Szifron,达里奥·葛兰帝内提 Darío...,2014,阿根廷 西班牙,剧情 喜剧 犯罪,https://movie.douban.com/subject/24750126/
205,源代码,Source Code,启动原始码(台)  /  危机解密(港),8.6,937502,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,邓肯·琼斯 Duncan Jones,杰克·吉伦哈尔 Jake Gyllenhaal / ...,2011,美国 加拿大,科幻 悬疑 惊悚,https://movie.douban.com/subject/3075287/
206,花束般的恋爱,花束みたいな恋をした,她和他的恋爱花期(港)  /  爱如花束 恋恋不忘,8.6,846352,,土井裕泰 Nobuhiro Doi,菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情,https://movie.douban.com/subject/34874432/
207,爱乐之城,La La Land,星声梦里人(港)  /  乐来越爱你(台),8.4,1140156,,达米恩·查泽雷 Damien Chazelle,瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞,https://movie.douban.com/subject/25934014/
208,疯狂的麦克斯4：狂暴之路,Mad Max: Fury Road,末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),8.7,626042,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,乔治·米勒 George Miller,汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险,https://movie.douban.com/subject/3592854/
209,可可西里,,Kekexili: Mountain Patrol,8.9,350933,坚硬的信仰。,陆川 Chuan Lu,多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,2004,中国大陆 中国香港,剧情 犯罪,https://movie.douban.com/subject/1308857/
210,你看起来好像很好吃,おまえうまそうだな,你看起来很好吃(台)  /  你看上去好像很好吃,8.9,380628,感情不分食草或者食肉。,藤森雅也 Masaya Fujimori,山口胜平 Kappei Yamaguchi / 爱河...,2010,日本,剧情 动画 儿童,https://movie.douban.com/subject/4848115/
211,波西米亚狂想曲,Bohemian Rhapsody,波希米亚狂想曲：摇滚传说(港)  /  波希米亚狂想曲(台),8.6,699485,,布莱恩·辛格 Bryan Singer,拉米·马雷克 Rami Malek / 本·哈...,2018,英国 美国,剧情 传记 同性 音乐,https://movie.douban.com/subject/5300054/
212,贫民窟的百万富翁,Slumdog Millionaire,一百万零一夜(港)  /  贫民百万富翁(台),8.6,812873,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,戴夫...,2008,英国,剧情 爱情,https://movie.douban.com/subject/2209573/
213,城市之光,City Lights,City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,9.3,175987,,查理·卓别林 Charles Chaplin,查理·卓别林 Charles Chaplin ...,1931,美国,喜剧 剧情 爱情,https://movie.douban.com/subject/1293908/
214,大红灯笼高高挂,,Raise The Red Lantern  /  Épouses et concubines,8.8,382488,,张艺谋 Yimou Zhang,巩俐 Li Gong / 马精武 Jingwu Ma / 何赛...,1991,中国大陆 中国香港 中国台湾,剧情,https://movie.douban.com/subject/1293323/
215,爆裂鼓手,Whiplash,鼓动真我(港)  /  进击的鼓手(台),8.6,700855,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,达米恩·查泽雷 Damien Chazelle,迈尔斯·特勒 Miles Teller /...,2014,美国,剧情 音乐,https://movie.douban.com/subject/25773932/
216,哈利·波特与死亡圣器(上),Harry Potter and the Deathly Hallows: Part 1,哈利波特7：死神的圣物1(港 / 台),8.6,706858,最忠于原著的一部。,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险,https://movie.douban.com/subject/2051007/
217,无耻混蛋,Inglourious Basterds,希魔撞正杀人狂(港)  /  恶棍特工(台),8.7,571918,昆汀同学越来越变态了，比北野武还杜琪峰。,昆汀·塔伦蒂诺 Quentin Tarantino,布拉德·皮特 Brad Pitt / ...,2009,德国 美国,剧情 犯罪,https://movie.douban.com/subject/1438652/
218,终结者2：审判日,Terminator 2: Judgment Day,未来战士2(港)  /  魔鬼终结者2(台),8.8,391982,,詹姆斯·卡梅隆 James Cameron,阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻,https://movie.douban.com/subject/1291844/
219,青蛇,,Green Snake,8.6,607624,,徐克 Hark Tsui,张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ...,1993,中国香港 中国大陆,剧情 爱情 奇幻 古装,https://movie.douban.com/subject/1303394/
220,东邪西毒,東邪西毒,Ashes of Time,8.6,641390,,王家卫 Kar Wai Wong,张国荣 Leslie Cheung / 林青霞 Brigitte...,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,https://movie.douban.com/subject/1292328/
221,黑天鹅,Black Swan,夺命黑天鹅  /  霸王别鹅(豆友译名),8.6,854633,黑暗之美。,达伦·阿罗诺夫斯基 Darren Aronofsky,娜塔莉·波特曼 Natalie...,2010,美国,剧情 惊悚,https://movie.douban.com/subject/1978709/
222,新龙门客栈,新龍門客棧,New Dragon Gate Inn,8.7,517342,,李惠民 Raymond Lee,张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装,https://movie.douban.com/subject/1292287/
223,初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,初恋那件小事(港)  /  暗恋那点小事,8.5,1059646,黑小鸭速效美白记。,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,,2010,泰国,剧情 喜剧 爱情,https://movie.douban.com/subject/4739952/
224,千钧一发,Gattaca,变种异煞(港)  /  自然人,8.8,357806,,安德鲁·尼科尔 Andrew Niccol,伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚,https://movie.douban.com/subject/1300117/
225,人工智能,A.I. Artificial Intelligence,AI人工智慧,8.7,510685,,史蒂文·斯皮尔伯格 Steven Spielberg,海利·乔·奥斯蒙 Haley...,2001,美国,剧情 科幻,https://movie.douban.com/subject/1302827/
226,崖上的波妞,崖の上のポニョ,悬崖上的金鱼姬  /  悬崖上的金鱼公主,8.6,583428,,宫崎骏 Hayao Miyazaki,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1959877/
227,虎口脱险,La grande vadrouille,横冲直撞出重围(港)  /  大進擊(台),8.9,300625,,杰拉尔·乌里 Gérard Oury,路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争,https://movie.douban.com/subject/1296909/
228,雨人,Rain Man,手足情未了(港)  /  手足情深,8.7,447354,,巴瑞·莱文森 Barry Levinson,达斯汀·霍夫曼 Dustin Hoffman ...,1988,美国,剧情,https://movie.douban.com/subject/1291870/
229,彗星来的那一夜,Coherence,相干性  /  相干效应,8.6,698238,小成本大魅力。,詹姆斯·沃德·布柯特 James Ward Byrkit,艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚,https://movie.douban.com/subject/25807345/
230,哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,哈利波特5：凤凰会的密令(港 / 台),8.6,707035,,大卫·叶茨 David Yates,丹尼尔·雷德克里夫 Daniel Radcliffe...,2007,英国 美国,奇幻 冒险,https://movie.douban.com/subject/1457217/
231,罗生门,羅生門,Rashomon,8.8,363221,,黑泽明 Akira Kurosawa,三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑,https://movie.douban.com/subject/1291879/
232,海边的曼彻斯特,Manchester by the Sea,情系海边之城(港),8.6,664557,我们都有权利不与自己的过去和解。,肯尼斯·罗纳根 Kenneth Lonergan,卡西·阿弗莱克 Casey Affle...,2016,美国,剧情 家庭,https://movie.douban.com/subject/25980443/
233,火星救援,The Martian,火星任务(港)  /  绝地救援(台),8.5,850959,,雷德利·斯科特 Ridley Scott,马特·达蒙 Matt Damon / 杰西卡...,2015,英国 美国 匈牙利 约旦,剧情 科幻 冒险,https://movie.douban.com/subject/25864085/
234,恋恋笔记本,The Notebook,忘了·忘不了(港)  /  手札情缘(台),8.5,758515,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。,尼克·卡索维茨 Nick Cassavetes,瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情,https://movie.douban.com/subject/1309163/
235,真爱至上,Love Actually,真的恋爱了(港)  /  爱是您，爱是我(台),8.5,814482,,理查德·柯蒂斯 Richard Curtis,休·格兰特 Hugh Grant / 连姆...,2003,英国 美国 法国,喜剧 剧情 爱情,https://movie.douban.com/subject/1292401/
236,黑客帝国2：重装上阵,The Matrix Reloaded,22世纪杀人网络2：决战未来(港)  /  骇客任务：重装上阵(台),8.7,461679,,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,美国,动作 科幻,https://movie.douban.com/subject/1304141/
237,冰雪奇缘,Frozen,魔雪奇缘(港)  /  冰雪大冒险,8.5,847026,,克里斯·巴克 Chris Buck / 珍妮弗·李 Jennifer Lee,克里斯汀...,2013,美国,喜剧 动画 奇幻 歌舞,https://movie.douban.com/subject/4202982/
238,步履不停,歩いても 歩いても,横山家之味(港 / 台),8.8,333855,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,是枝裕和 Hirokazu Koreeda,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,日本,剧情 家庭,https://movie.douban.com/subject/2222996/
239,千年女优,千年女優,Millennium Actress,8.8,322953,,今敏 Satoshi Kon,庄司美代子 Miyoko Shôji / 小山茉美 Mam...,2001,日本,动画 剧情 爱情,https://movie.douban.com/subject/1307394/
240,奇迹男孩,Wonder,奇迹,8.6,606079,世界不完美，爱会有奇迹。,斯蒂芬·卓博斯基 Stephen Chbosky,雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭,https://movie.douban.com/subject/26787574/
241,蜘蛛侠：平行宇宙,Spider-Man: Into the Spider-Verse,蜘蛛侠：新纪元  /  蜘蛛人：新宇宙(台),8.6,766960,,鲍勃·佩尔西凯蒂 Bob Persichetti / 彼得·拉姆齐 Peter Ramsey   主...,,2018,美国,动作 科幻 动画 冒险,https://movie.douban.com/subject/26374197/
242,谍影重重2,The Bourne Supremacy,叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),8.7,405681,谁说王家卫镜头很晃？,保罗·格林格拉斯 Paul Greengrass,马特·达蒙 Matt Damon / ...,2004,美国 德国,动作 悬疑 惊悚,https://movie.douban.com/subject/1308767/
243,战争之王,Lord of War,军火之王(台 / 港),8.7,420637,做一颗让别人需要你的棋子。,安德鲁·尼科尔 Andrew Niccol,尼古拉斯·凯奇 Nicolas Cage /...,2005,美国 德国,剧情 犯罪,https://movie.douban.com/subject/1419936/
244,攻壳机动队,攻殻機動隊,Ghost in the Shell,9.0,223538,,押井守 Mamoru Oshii,田中敦子 Atsuko Tanaka / 大冢明夫 Akio...,1995,日本,动作 科幻 动画,https://movie.douban.com/subject/1291936/
245,血钻,Blood Diamond,血钻石(台)  /  血腥钻石,8.7,426688,每个美丽事物背后都是滴血的现实。,爱德华·兹威克 Edward Zwick,莱昂纳多·迪卡普里奥 Leonardo ...,2006,美国 德国 英国,剧情 惊悚 冒险,https://movie.douban.com/subject/1428175/
246,小姐,아가씨,下女诱罪(港)  /  下女的诱惑(台),8.5,589112,,朴赞郁 Chan-wook Park,金敏喜 Min-hee Kim / 金泰梨 Tae-ri K...,2016,韩国,剧情 悬疑 情色 同性,https://movie.douban.com/subject/25977027/
247,血观音,血觀音,"修罗花  /  The Bold, the Corrupt, and the Beautiful",8.6,578088,,杨雅喆 Ya-che Yang,惠英红 Kara Wai Ying Hung / 吴可熙 Wu K...,2017,中国台湾,剧情 悬疑,https://movie.douban.com/subject/27113517/
248,隐藏人物,Hidden Figures,NASA无名英雌(港)  /  关键少数(台),8.9,278586,,特奥多尔·梅尔菲 Theodore Melfi,塔拉吉·P·汉森 Taraji P. ...,2016,美国,剧情 传记 历史,https://movie.douban.com/subject/26615208/
249,魂断蓝桥,Waterloo Bridge,滑铁卢桥  /  断桥残梦,8.8,314262,,茂文·勒鲁瓦 Mervyn LeRoy,费雯·丽 Vivien Leigh / 罗伯特·...,1940,美国,剧情 爱情 战争,https://movie.douban.com/subject/1293964/
250,房间,Room,不存在的房间(台)  /  抖室(港),8.7,403533,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,伦尼·阿伯拉罕森 Lenny Abrahamson,布丽·拉尔森 Brie Larson...,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,https://movie.douban.com/subject/25724855/
